Year,Quarter,Airline,PaxToIndia,PaxFromIndia,FreightToIndia,FreightFromIndia
58.735,1157.406,AIR INDIA EXPRESS,302833,15,4,336624
656.4395,5100.0175,AIR INDIA EXPRESS,619001,24,1,735959
91.315,3054.042,AIR INDIA EXPRESS,198129,20,3,87286
0,0,AIR MANAS,47,22,1,1135
0,0.115,AIR MANAS,3,21,3,818
0,131.166,AIR MANAS,609,15,1,818
0,35.76,AIR MANAS,1342,16,1,1536
0,58.226,AIR MANAS,4195,18,1,4738
0.103,89.516,AIR MANAS,2596,16,2,2830
0.151,105.373,AIR MANAS,4169,17,2,3859
0.5,336.43,AIR MANAS,1918,15,2,1410
1.13,99.225,AIR MANAS,5260,18,2,4631
1.741,0,AIR MANAS,26,21,4,2730
11.216,31.588,AIR MANAS,3270,16,4,3560
15.022,33.546,AIR MANAS,2338,15,4,2003
2.794,41.098,AIR MANAS,2811,16,3,4027
3.188,56.129,AIR MANAS,3206,17,1,3900
3.219,60.962,AIR MANAS,5089,18,3,5949
4.202,51.405,AIR MANAS,1993,15,3,3007
4.818,38.957,AIR MANAS,4651,17,4,4870
5.43,44.039,AIR MANAS,4353,17,3,5389
8.136,0,AIR MANAS,1103,18,4,1883
106.751,1303.602,AIR MAURITIUS,22695,19,3,23642
119.07,1633.612,AIR MAURITIUS,34575,18,2,35254
140.892,876.479,AIR MAURITIUS,15177,22,3,16967
143.277,947.706,AIR MAURITIUS,26921,18,1,28841
203.168,1213.259,AIR MAURITIUS,26332,18,3,28796
218.32,1129.335,AIR MAURITIUS,27419,17,4,23515
23.743,1264.56,AIR MAURITIUS,20836,24,2,23935
3.029,595.709,AIR MAURITIUS,616,21,1,343
30.442,611.439,AIR MAURITIUS,3333,21,4,3468
32.477,1013.959,AIR MAURITIUS,23343,24,1,19050
36.225,969.221,AIR MAURITIUS,23021,19,1,25712
4.243,869.027,AIR MAURITIUS,400,21,3,1220
42.638,973.341,AIR MAURITIUS,18522,23,3,19276
47.821,1044.363,AIR MAURITIUS,4542,22,1,5743
48.025,1170.189,AIR MAURITIUS,21642,23,4,21560
49.977,600.95,AIR MAURITIUS,22285,15,4,22026
50.429,1290.97,AIR MAURITIUS,26813,19,2,31284
54.234,912.755,AIR MAURITIUS,21293,20,1,23478
54.931,1123.241,AIR MAURITIUS,30599,19,4,27914
55.572,563.571,AIR MAURITIUS,24758,16,2,27514
56.294,1030.959,AIR MAURITIUS,22073,17,3,22277
57.932,683.114,AIR MAURITIUS,19313,15,1,20599
60.572,540.471,AIR MAURITIUS,23789,16,3,24830
62.682,698.955,AIR MAURITIUS,28537,17,2,31504
62.888,610.961,AIR MAURITIUS,21752,16,1,23870
64.273,1007.714,AIR MAURITIUS,16014,23,1,17999
65.7,1123.43,AIR MAURITIUS,19109,23,2,19216
67.473,785.062,AIR MAURITIUS,19163,22,4,17535
7.472,618.302,AIR MAURITIUS,493,21,2,548
71.193,630.12,AIR MAURITIUS,25398,16,4,24157
72.18,654.434,AIR MAURITIUS,23928,17,1,24864
78.651,894.93,AIR MAURITIUS,22918,15,2,25767
90.491,648.176,AIR MAURITIUS,18044,15,3,17690
93.459,564.236,AIR MAURITIUS,15415,22,2,17369
96.709,1183.898,AIR MAURITIUS,25216,18,4,24506
0,0,AIR SEYCHELLES,66,21,1,59
0,0,AIR SEYCHELLES,1164,21,4,1916
